funnel,channel,format,tactic_name,description,priority
Prospecting,Meta,Traffic,Meta Traffic Prospecting,Traffic ads to reach broad or interest-based audiences and drive users to the landing page for on-web leads and conversions,recommended
Prospecting,Meta,Lead Gen,Meta Lead Gen Prospecting,Lead Form ads to capture basic lead information from cold or broad audiences,optional
Prospecting,LinkedIn,Traffic,LinkedIn Traffic Prospecting,"Traffic ads targeting job title, seniority, skills, and industry to drive qualified users to the landing page for on-web leads and conversions",essential
Prospecting,LinkedIn,Lead Gen,LinkedIn Lead Gen Prospecting,Lead Gen Form ads to capture brochure downloads or initial leads from targeted professional audiences,recommended
Prospecting,Google,Search,Google Search Prospecting,High-intent keyword bidding to capture users actively searching for programme-related terms,recommended
Prospecting,Google,Display,Google Display Prospecting,Display prospecting using affinity and custom intent segments to build top-of-funnel awareness,optional
Prospecting,Google,Performance Max,Google Performance Max Prospecting,Full-funnel PMAX campaigns using audience signals and automation to scale conversions across all Google surfaces,essential
Prospecting,Email,eDM,eDM,Email blast to reach a broad or pre-qualified database with programme information and drive initial engagement,situational
Retargeting,Meta,Traffic,Meta Traffic Retargeting,Traffic retargeting to bring back users who engaged or visited the landing page to complete on-web leads and conversions,recommended
Retargeting,Meta,Lead Gen,Meta Lead Gen Retargeting,Lead Form retargeting for users who engaged previously but did not complete a form,essential
Retargeting,LinkedIn,Traffic,LinkedIn Traffic Retargeting,Traffic retargeting to re-engage warm audiences and drive them back to the landing page for on-web leads and conversions,recommended
Retargeting,LinkedIn,Lead Gen,LinkedIn Lead Gen Retargeting,Lead Gen Form ads retargeting landing page visitors or engagers to capture brochure downloads,essential
Retargeting,Google,Search,Google Search Retargeting,Search retargeting using remarketing lists to improve conversion likelihood from past visitors,situational
Retargeting,Google,Display,Google Display Retargeting,Display remarketing banners shown to users who visited key pages but didnâ€™t convert,essential
Retargeting,Google,Performance Max,Google Performance Max Retargeting,PMAX retargeting asset groups focused on users who engaged with ads or visited the landing page,optional
Nurturing,Meta,Traffic,Meta Traffic Nurturing,Traffic ads to re-engage warm leads and drive them back to the landing page for on-web conversions,essential
Nurturing,LinkedIn,Traffic,LinkedIn Traffic Nurturing,Traffic ads targeting previously engaged audiences to bring them back to the landing page to complete conversions,essential
Nurturing,Email,Nurture Email,Nurture Email,Automated email sequences designed to nurture warm leads and move them toward application,essential
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
essential,"highest priority, must-have",,,,
recommended,"best-practice, good-to-have",,,,
optional,not optimal but can be an okay add-on,,,,
situational,only under special requests or factors,,,,